Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
S_L10_Y2,1503,30.678223,-87.424656,2024-01-07,2024-01-14
S_L10_Y2,1504,30.678223,-87.424656,2024-01-14,2024-01-21
S_L11_Y2,1505,30.678843,-87.424704,2024-01-07,2024-01-14
S_L11_Y2,1506,30.678843,-87.424704,2024-01-14,2024-01-21
S_L12_Y2,1507,30.679368,-87.424672,2024-01-14,2024-01-21
S_L13_Y2,1508,30.407656,-87.842252,2024-01-06,2024-01-13
S_L13_Y2,1509,30.407656,-87.842252,2024-01-13,2024-01-20
S_L14_Y2,1510,30.408234,-87.842282,2024-01-06,2024-01-13
S_L14_Y2,1511,30.408234,-87.842282,2024-01-13,2024-01-20
S_L15_Y2,1512,30.408831,-87.842141,2024-01-06,2024-01-13
S_L15_Y2,1513,30.408831,-87.842141,2024-01-13,2024-01-20
S_L16_Y2,1514,30.409523,-87.842335,2024-01-06,2024-01-13
S_L16_Y2,1515,30.409523,-87.842335,2024-01-13,2024-01-20
S_L17_Y2,1516,30.410568,-87.842475,2024-01-06,2024-01-13
S_L17_Y2,1517,30.410568,-87.842475,2024-01-13,2024-01-20
S_L18_Y2,1518,30.409966,-87.842243,2024-01-06,2024-01-13
S_L18_Y2,1519,30.409966,-87.842243,2024-01-13,2024-01-20
S_L19_Y2,1520,30.407668,-87.837068,2024-01-13,2024-01-20
S_L1_Y2,1493,30.676440,-87.429904,2024-01-07,2024-01-14
S_L20_Y2,1521,30.408245,-87.837103,2024-01-06,2024-01-13
S_L20_Y2,1522,30.408245,-87.837103,2024-01-13,2024-01-20
S_L21_Y2,1523,30.408939,-87.837124,2024-01-06,2024-01-13
S_L22_Y2,1524,30.409473,-87.837120,2024-01-06,2024-01-13
S_L23_Y2,1525,30.410031,-87.837112,2024-01-06,2024-01-13
S_L23_Y2,1526,30.410031,-87.837112,2024-01-13,2024-01-20
S_L24_Y2,1527,30.410528,-87.837109,2024-01-06,2024-01-13
S_L24_Y2,1528,30.410528,-87.837109,2024-01-13,2024-01-20
S_L25_Y2,1529,30.402915,-87.847337,2024-01-06,2024-01-13
S_L25_Y2,1530,30.402915,-87.847337,2024-01-13,2024-01-20
S_L26_Y2,1531,30.403512,-87.847330,2024-01-06,2024-01-13
S_L26_Y2,1532,30.403512,-87.847330,2024-01-13,2024-01-20
S_L28_Y2,1533,30.404681,-87.847291,2024-01-06,2024-01-13
S_L28_Y2,1534,30.404681,-87.847291,2024-01-13,2024-01-20
S_L29_Y2,1535,30.405269,-87.847299,2024-01-06,2024-01-13
S_L29_Y2,1536,30.405269,-87.847299,2024-01-13,2024-01-20
S_L30_Y2,1537,30.405660,-87.847176,2024-01-06,2024-01-13
S_L30_Y2,1538,30.405660,-87.847176,2024-01-13,2024-01-20
S_L31_Y2,1539,30.403137,-87.842128,2024-01-06,2024-01-13
S_L31_Y2,1540,30.403137,-87.842128,2024-01-13,2024-01-20
S_L32_Y2,1541,30.403570,-87.842121,2024-01-06,2024-01-13
S_L32_Y2,1542,30.403570,-87.842121,2024-01-13,2024-01-20
S_L33_Y2,1543,30.404084,-87.842034,2024-01-06,2024-01-13
S_L33_Y2,1544,30.404084,-87.842034,2024-01-13,2024-01-20
S_L34_Y2,1545,30.404713,-87.841965,2024-01-06,2024-01-13
S_L34_Y2,1546,30.404713,-87.841965,2024-01-13,2024-01-20
S_L35_Y2,1547,30.405316,-87.842062,2024-01-06,2024-01-13
S_L35_Y2,1548,30.405316,-87.842062,2024-01-13,2024-01-20
S_L36_Y2,1549,30.405850,-87.842046,2024-01-06,2024-01-13
S_L36_Y2,1550,30.405850,-87.842046,2024-01-13,2024-01-20
S_L37_Y2,1551,30.417274,-87.819731,2024-01-06,2024-01-13
S_L37_Y2,1552,30.417274,-87.819731,2024-01-13,2024-01-20
S_L38_Y2,1553,30.417975,-87.819682,2024-01-06,2024-01-13
S_L39_Y2,1554,30.418483,-87.819759,2024-01-06,2024-01-13
S_L39_Y2,1555,30.418483,-87.819759,2024-01-13,2024-01-20
S_L3_Y2,1494,30.677610,-87.429948,2024-01-07,2024-01-14
S_L40_Y2,1556,30.419033,-87.819658,2024-01-06,2024-01-13
S_L40_Y2,1557,30.419033,-87.819658,2024-01-13,2024-01-20
S_L41_Y2,1558,30.419675,-87.819660,2024-01-06,2024-01-13
S_L41_Y2,1559,30.419675,-87.819660,2024-01-13,2024-01-20
S_L42_Y2,1560,30.420243,-87.819687,2024-01-06,2024-01-13
S_L42_Y2,1561,30.420243,-87.819687,2024-01-13,2024-01-20
S_L43_Y2,1562,30.417456,-87.814343,2024-01-06,2024-01-13
S_L43_Y2,1563,30.417456,-87.814343,2024-01-13,2024-01-20
S_L44_Y2,1564,30.418033,-87.814346,2024-01-06,2024-01-13
S_L44_Y2,1565,30.418033,-87.814346,2024-01-13,2024-01-20
S_L45_Y2,1566,30.418660,-87.814379,2024-01-06,2024-01-13
S_L45_Y2,1567,30.418660,-87.814379,2024-01-13,2024-01-20
S_L46_Y2,1568,30.419150,-87.814368,2024-01-06,2024-01-13
S_L46_Y2,1569,30.419150,-87.814368,2024-01-13,2024-01-20
S_L47_Y2,1570,30.419849,-87.814336,2024-01-06,2024-01-13
S_L47_Y2,1571,30.419849,-87.814336,2024-01-13,2024-01-20
S_L48_Y2,1572,30.420362,-87.814443,2024-01-06,2024-01-13
S_L48_Y2,1573,30.420362,-87.814443,2024-01-13,2024-01-20
S_L49_Y2,1574,30.954910,-87.867777,2024-01-06,2024-01-13
S_L49_Y2,1575,30.954910,-87.867777,2024-01-13,2024-01-20
S_L4_Y2,1495,30.678180,-87.429813,2024-01-14,2024-01-21
S_L50_Y2,1576,30.955338,-87.867903,2024-01-06,2024-01-13
S_L50_Y2,1577,30.955338,-87.867903,2024-01-13,2024-01-20
S_L51_Y2,1579,30.956041,-87.867916,2024-01-06,2024-01-13
S_L51_Y2,1580,30.956041,-87.867916,2024-01-13,2024-01-20
S_L52_Y2,1581,30.956569,-87.867841,2024-01-06,2024-01-13
S_L52_Y2,1582,30.956569,-87.867841,2024-01-13,2024-01-20
S_L53_Y2,1583,30.957047,-87.867772,2024-01-06,2024-01-13
S_L54_Y2,1584,30.957668,-87.867849,2024-01-06,2024-01-13
S_L54_Y2,1585,30.957668,-87.867849,2024-01-13,2024-01-20
S_L55_Y2,1586,30.954767,-87.862594,2024-01-06,2024-01-13
S_L56_Y2,1587,30.955456,-87.862524,2024-01-06,2024-01-13
S_L56_Y2,1588,30.955456,-87.862524,2024-01-13,2024-01-20
S_L57_Y2,1589,30.956064,-87.862598,2024-01-06,2024-01-13
S_L57_Y2,1590,30.956064,-87.862598,2024-01-13,2024-01-20
S_L58_Y2,1591,30.956564,-87.862558,2024-01-06,2024-01-13
S_L58_Y2,1592,30.956564,-87.862558,2024-01-13,2024-01-20
S_L59_Y2,1593,30.957239,-87.862705,2024-01-06,2024-01-13
S_L59_Y2,1594,30.957239,-87.862705,2024-01-13,2024-01-20
S_L5_Y2,1496,30.678741,-87.429913,2024-01-07,2024-01-14
S_L5_Y2,1497,30.678741,-87.429913,2024-01-14,2024-01-21
S_L60_Y2,1595,30.957605,-87.862658,2024-01-06,2024-01-13
S_L60_Y2,1596,30.957605,-87.862658,2024-01-13,2024-01-20
S_L61_Y2,1597,30.950607,-87.872226,2024-01-06,2024-01-13
S_L61_Y2,1598,30.950607,-87.872226,2024-01-13,2024-01-20
S_L62_Y2,1599,30.950925,-87.872080,2024-01-06,2024-01-13
S_L62_Y2,1600,30.950925,-87.872080,2024-01-13,2024-01-20
S_L63_Y2,1601,30.951589,-87.872080,2024-01-06,2024-01-13
S_L63_Y2,1602,30.951589,-87.872080,2024-01-13,2024-01-20
S_L64_Y2,1603,30.952155,-87.872011,2024-01-06,2024-01-13
S_L64_Y2,1604,30.952155,-87.872011,2024-01-13,2024-01-20
S_L65_Y2,1605,30.952773,-87.872034,2024-01-06,2024-01-13
S_L65_Y2,1606,30.952773,-87.872034,2024-01-13,2024-01-20
S_L66_Y2,1607,30.953201,-87.872023,2024-01-06,2024-01-13
S_L67_Y2,1609,30.950456,-87.866826,2024-01-13,2024-01-20
S_L68_Y2,1610,30.950991,-87.866681,2024-01-06,2024-01-13
