Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
N_L10_Y1,163,34.685229,-86.708770,2022-10-01,2022-10-08
N_L10_Y1,164,34.685229,-86.708770,2022-10-08,2022-10-14
N_L11_Y1,165,34.685817,-86.708730,2022-10-01,2022-10-08
N_L11_Y1,166,34.685817,-86.708730,2022-10-08,2022-10-14
N_L12_Y1,167,34.686330,-86.708781,2022-10-01,2022-10-08
N_L12_Y1,168,34.686330,-86.708781,2022-10-08,2022-10-14
N_L13_Y1,226,34.674475,-86.626460,2022-10-01,2022-10-08
N_L13_Y1,227,34.674475,-86.626460,2022-10-08,2022-10-15
N_L14_Y1,228,34.675085,-86.626364,2022-10-01,2022-10-08
N_L14_Y1,229,34.675085,-86.626364,2022-10-08,2022-10-15
N_L15_Y1,232,34.675772,-86.626374,2022-10-01,2022-10-08
N_L15_Y1,233,34.675772,-86.626374,2022-10-08,2022-10-15
N_L16_Y1,234,34.676347,-86.626487,2022-10-01,2022-10-08
N_L16_Y1,235,34.676347,-86.626487,2022-10-08,2022-10-15
N_L17_Y1,236,34.676882,-86.626511,2022-10-01,2022-10-08
N_L17_Y1,237,34.676882,-86.626511,2022-10-08,2022-10-15
N_L18_Y1,238,34.677459,-86.626413,2022-10-01,2022-10-08
N_L18_Y1,239,34.677459,-86.626413,2022-10-08,2022-10-15
N_L19_Y1,242,34.674026,-86.621617,2022-10-01,2022-10-08
N_L19_Y1,243,34.674026,-86.621617,2022-10-08,2022-10-15
N_L1_Y1,147,34.683506,-86.714210,2022-10-01,2022-10-08
N_L1_Y1,148,34.683506,-86.714210,2022-10-08,2022-10-14
N_L20_Y1,244,34.674949,-86.622437,2022-10-01,2022-10-08
N_L20_Y1,245,34.674949,-86.622437,2022-10-08,2022-10-15
N_L21_Y1,246,34.675808,-86.623411,2022-10-01,2022-10-08
N_L21_Y1,247,34.675808,-86.623411,2022-10-08,2022-10-15
N_L22_Y1,248,34.676231,-86.624965,2022-10-01,2022-10-08
N_L22_Y1,249,34.676231,-86.624965,2022-10-08,2022-10-15
N_L23_Y1,250,34.676599,-86.625657,2022-10-01,2022-10-08
N_L23_Y1,251,34.676599,-86.625657,2022-10-08,2022-10-15
N_L24_Y1,252,34.676736,-86.625803,2022-10-01,2022-10-08
N_L24_Y1,253,34.676736,-86.625803,2022-10-08,2022-10-15
N_L25_Y1,421,34.665767,-86.678046,2022-10-01,2022-10-08
N_L25_Y1,422,34.665767,-86.678046,2022-10-08,2022-10-15
N_L26_Y1,423,34.665645,-86.678685,2022-10-01,2022-10-08
N_L26_Y1,424,34.665645,-86.678685,2022-10-08,2022-10-15
N_L27_Y1,425,34.664750,-86.680056,2022-10-01,2022-10-08
N_L27_Y1,426,34.664750,-86.680056,2022-10-08,2022-10-15
N_L28_Y1,427,34.664720,-86.679387,2022-10-01,2022-10-08
N_L28_Y1,428,34.664720,-86.679387,2022-10-08,2022-10-15
N_L29_Y1,429,34.665200,-86.679151,2022-10-01,2022-10-08
N_L29_Y1,430,34.665200,-86.679151,2022-10-08,2022-10-15
N_L2_Y1,149,34.684083,-86.714212,2022-10-01,2022-10-08
N_L2_Y1,150,34.684083,-86.714212,2022-10-08,2022-10-14
N_L30_Y1,432,34.665775,-86.679217,2022-10-08,2022-10-15
N_L31_Y1,433,34.663044,-86.673616,2022-10-01,2022-10-08
N_L31_Y1,434,34.663044,-86.673616,2022-10-08,2022-10-15
N_L32_Y1,435,34.663452,-86.673746,2022-10-01,2022-10-08
N_L32_Y1,436,34.663452,-86.673746,2022-10-08,2022-10-15
N_L33_Y1,437,34.663946,-86.674115,2022-10-01,2022-10-08
N_L33_Y1,438,34.663946,-86.674115,2022-10-08,2022-10-15
N_L34_Y1,439,34.664573,-86.673768,2022-10-01,2022-10-08
N_L34_Y1,440,34.664573,-86.673768,2022-10-08,2022-10-15
N_L35_Y1,441,34.664962,-86.673694,2022-10-01,2022-10-08
N_L35_Y1,442,34.664962,-86.673694,2022-10-08,2022-10-15
N_L36_Y1,443,34.665634,-86.673338,2022-10-01,2022-10-08
N_L36_Y1,444,34.665634,-86.673338,2022-10-08,2022-10-15
N_L37_Y1,445,34.653284,-86.622976,2022-10-02,2022-10-08
N_L37_Y1,446,34.653284,-86.622976,2022-10-08,2022-10-15
N_L38_Y1,447,34.654313,-86.622649,2022-10-02,2022-10-08
N_L38_Y1,448,34.654313,-86.622649,2022-10-08,2022-10-15
N_L39_Y1,449,34.655226,-86.622967,2022-10-02,2022-10-08
N_L39_Y1,450,34.655226,-86.622967,2022-10-08,2022-10-15
N_L3_Y1,152,34.684660,-86.714210,2022-10-08,2022-10-14
N_L40_Y1,451,34.656881,-86.623032,2022-10-02,2022-10-08
N_L40_Y1,452,34.656881,-86.623032,2022-10-08,2022-10-15
N_L41_Y1,453,34.656106,-86.622883,2022-10-02,2022-10-08
N_L41_Y1,454,34.656106,-86.622883,2022-10-08,2022-10-15
