Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
C_U34_Y2,1207,CU310C,unknown passerine,C_U34_Y2_1207,2023-10-14 14:01:25,2023-10-14,14:01:25,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\55,55bd8a06-46b6-4d90-8ad4-699e743c84f6.jpg
C_U34_Y2,1207,CU310C,unknown lagomorph,C_U34_Y2_1207,2023-10-14 15:30:09,2023-10-14,15:30:09,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\74,74fd4d7f-9daf-4738-847a-e0432da2af32.jpg
C_U40_Y2,1217,CU404C,Odocoileus virginianus,C_U40_Y2_1217,2023-10-14 19:11:07,2023-10-14,19:11:07,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\2b,2b06b510-136c-43e6-bdbf-9da742388d0e.jpg
C_L64_Y2,1357,CL604C,Procyon lotor,C_L64_Y2_1357,2023-10-14 19:24:57,2023-10-14,19:24:57,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\71,71100699-65c3-46b6-9b0a-4bbf38d4fbcb.jpg
C_L39_Y2,1325,CL403C,unknown rodent,C_L39_Y2_1325,2023-10-14 19:31:31,2023-10-14,19:31:31,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\a5,a5737745-1b0f-4d74-a1ef-27dcba7227bf.jpg
C_L62_Y2,1354,CL602C,Procyon lotor,C_L62_Y2_1354,2023-10-14 19:41:13,2023-10-14,19:41:13,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\e4,e4a78cfd-97cb-4fda-a9a1-bd6b79c68639.jpg
C_U39_Y2,1215,CU403C,Odocoileus virginianus,C_U39_Y2_1215,2023-10-14 19:45:11,2023-10-14,19:45:11,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\f6,f6933641-90dd-4c3d-96f9-52322fa73d28.jpg
C_L45_Y2,1335,CL409C,unknown rodent,C_L45_Y2_1335,2023-10-14 19:54:11,2023-10-14,19:54:11,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\7f,7f579063-d665-45d8-8795-2bf57f335506.jpg
C_L39_Y2,1325,CL403C,unknown rodent,C_L39_Y2_1325,2023-10-14 19:59:03,2023-10-14,19:59:03,1652,27,0.5,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\88,8868d07a-e2c0-4eff-b63b-8f2e856d0957.jpg
C_U32_Y2,1203,CU308C,unknown rodent,C_U32_Y2_1203,2023-10-14 19:59:56,2023-10-14,19:59:56,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\65,65009704-0460-4e93-bb6e-4e09e9bdbeff.jpg
