Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
C_L12_Y2,1284,32.610631,-86.523785,2023-10-22,2023-10-28
C_L13_Y2,1285,32.599181,-86.534300,2023-10-15,2023-10-22
C_L13_Y2,1286,32.599181,-86.534300,2023-10-22,2023-10-28
C_L14_Y2,1287,32.599678,-86.534423,2023-10-15,2023-10-22
C_L14_Y2,1288,32.599678,-86.534423,2023-10-22,2023-10-28
C_L15_Y2,1289,32.600371,-86.534470,2023-10-15,2023-10-22
C_L15_Y2,1290,32.600371,-86.534470,2023-10-22,2023-10-28
C_L16_Y2,1291,32.600792,-86.534357,2023-10-15,2023-10-22
C_L16_Y2,1292,32.600792,-86.534357,2023-10-22,2023-10-28
C_L17_Y2,1293,32.601420,-86.534351,2023-10-15,2023-10-22
C_L17_Y2,1294,32.601420,-86.534351,2023-10-22,2023-10-28
C_L18_Y2,1295,32.601988,-86.534390,2023-10-15,2023-10-22
C_L18_Y2,1296,32.601988,-86.534390,2023-10-22,2023-10-28
C_L19_Y2,1297,32.631964,-86.553451,2023-10-22,2023-10-28
C_L1_Y2,1268,32.607777,-86.529139,2023-10-15,2023-10-22
C_L1_Y2,1269,32.607777,-86.529139,2023-10-22,2023-10-28
C_L20_Y2,1298,32.599496,-86.529049,2023-10-15,2023-10-22
C_L20_Y2,1299,32.599496,-86.529049,2023-10-22,2023-10-28
C_L21_Y2,1300,32.600122,-86.529153,2023-10-15,2023-10-22
C_L21_Y2,1301,32.600122,-86.529153,2023-10-22,2023-10-28
C_L22_Y2,1302,32.600640,-86.529011,2023-10-15,2023-10-22
C_L22_Y2,1303,32.600640,-86.529011,2023-10-22,2023-10-28
C_L23_Y2,1304,32.601273,-86.529113,2023-10-15,2023-10-22
C_L23_Y2,1305,32.601273,-86.529113,2023-10-22,2023-10-28
C_L24_Y2,1306,32.601962,-86.528841,2023-10-22,2023-10-28
C_L26_Y2,1307,32.594023,-86.534517,2023-10-22,2023-10-28
C_L27_Y2,1308,32.594531,-86.534548,2023-10-15,2023-10-22
C_L27_Y2,1309,32.594531,-86.534548,2023-10-22,2023-10-28
C_L28_Y2,1310,32.595138,-86.534516,2023-10-22,2023-10-28
C_L29_Y2,1311,32.595808,-86.534399,2023-10-15,2023-10-22
C_L29_Y2,1312,32.595808,-86.534399,2023-10-22,2023-10-28
C_L2_Y2,1270,32.608339,-86.529133,2023-10-15,2023-10-22
C_L2_Y2,1271,32.608339,-86.529133,2023-10-22,2023-10-28
C_L30_Y2,1313,32.596375,-86.534543,2023-10-15,2023-10-22
C_L31_Y2,1314,32.593515,-86.529331,2023-10-22,2023-10-28
C_L33_Y2,1315,32.594703,-86.529297,2023-10-22,2023-10-28
C_L34_Y2,1316,32.595064,-86.529193,2023-10-15,2023-10-22
C_L34_Y2,1317,32.595064,-86.529193,2023-10-22,2023-10-28
C_L35_Y2,1318,32.595660,-86.529355,2023-10-15,2023-10-22
C_L36_Y2,1319,32.596213,-86.529207,2023-10-15,2023-10-22
C_L36_Y2,1320,32.596213,-86.529207,2023-10-22,2023-10-28
C_L37_Y2,1321,32.580720,-86.587981,2023-10-14,2023-10-21
C_L37_Y2,1322,32.580720,-86.587981,2023-10-21,2023-10-28
C_L38_Y2,1323,32.581148,-86.587955,2023-10-14,2023-10-21
C_L38_Y2,1324,32.581148,-86.587955,2023-10-21,2023-10-28
C_L39_Y2,1325,32.581596,-86.587744,2023-10-14,2023-10-21
C_L39_Y2,1326,32.581596,-86.587744,2023-10-21,2023-10-28
C_L3_Y2,1272,32.608925,-86.529123,2023-10-15,2023-10-22
C_L3_Y2,1273,32.608925,-86.529123,2023-10-22,2023-10-28
C_L40_Y2,1327,32.582194,-86.587934,2023-10-14,2023-10-21
C_L41_Y2,1328,32.582861,-86.587940,2023-10-14,2023-10-21
C_L41_Y2,1329,32.582861,-86.587940,2023-10-21,2023-10-28
C_L42_Y2,1330,32.583394,-86.587888,2023-10-14,2023-10-21
C_L42_Y2,1331,32.583394,-86.587888,2023-10-21,2023-10-28
C_L43_Y2,1332,32.580573,-86.582635,2023-10-14,2023-10-21
C_L44_Y2,1333,32.581103,-86.582659,2023-10-14,2023-10-21
C_L44_Y2,1334,32.581103,-86.582659,2023-10-21,2023-10-28
C_L45_Y2,1335,32.581726,-86.582632,2023-10-14,2023-10-21
C_L45_Y2,1336,32.581726,-86.582632,2023-10-21,2023-10-28
C_L46_Y2,1337,32.582243,-86.582604,2023-10-14,2023-10-21
C_L47_Y2,1338,32.582768,-86.582654,2023-10-14,2023-10-21
C_L47_Y2,1339,32.582768,-86.582654,2023-10-21,2023-10-28
C_L48_Y2,1340,32.583368,-86.582678,2023-10-14,2023-10-21
C_L48_Y2,1341,32.583368,-86.582678,2023-10-21,2023-10-28
C_L4_Y2,1274,32.609479,-86.529149,2023-10-15,2023-10-22
C_L4_Y2,1275,32.609479,-86.529149,2023-10-22,2023-10-28
C_L52_Y2,1342,32.589308,-86.529234,2023-10-14,2023-10-21
C_L54_Y2,1343,32.590429,-86.529258,2023-10-14,2023-10-21
C_L54_Y2,1344,32.590429,-86.529258,2023-10-21,2023-10-28
C_L55_Y2,1345,32.587550,-86.529258,2023-10-14,2023-10-21
C_L55_Y2,1346,32.587550,-86.529258,2023-10-21,2023-10-28
C_L56_Y2,1347,32.588115,-86.523919,2023-10-21,2023-10-28
C_L57_Y2,1348,32.588696,-86.523965,2023-10-14,2023-10-21
C_L58_Y2,1349,32.589263,-86.523943,2023-10-14,2023-10-21
C_L58_Y2,1350,32.589263,-86.523943,2023-10-21,2023-10-28
C_L59_Y2,1351,32.589822,-86.523924,2023-10-21,2023-10-28
C_L5_Y2,1276,32.610117,-86.529057,2023-10-15,2023-10-22
C_L5_Y2,1277,32.610117,-86.529057,2023-10-22,2023-10-28
C_L60_Y2,1352,32.590402,-86.523909,2023-10-21,2023-10-28
C_L61_Y2,1353,32.576096,-86.534591,2023-10-22,2023-10-28
C_L62_Y2,1354,32.576652,-86.534617,2023-10-14,2023-10-22
C_L63_Y2,1355,32.577097,-86.534667,2023-10-14,2023-10-22
C_L63_Y2,1356,32.577097,-86.534667,2023-10-22,2023-10-28
C_L64_Y2,1357,32.577686,-86.534582,2023-10-14,2023-10-22
C_L64_Y2,1358,32.577686,-86.534582,2023-10-22,2023-10-28
C_L65_Y2,1359,32.578443,-86.534586,2023-10-14,2023-10-22
C_L65_Y2,1360,32.578443,-86.534586,2023-10-22,2023-10-28
C_L66_Y2,1361,32.578874,-86.534531,2023-10-14,2023-10-22
C_L66_Y2,1362,32.578874,-86.534531,2023-10-22,2023-10-28
C_L67_Y2,1363,32.576275,-86.529508,2023-10-14,2023-10-22
C_L67_Y2,1364,32.576275,-86.529508,2023-10-22,2023-10-28
C_L68_Y2,1365,32.576597,-86.529254,2023-10-14,2023-10-22
C_L68_Y2,1367,32.576597,-86.529254,2023-10-22,2023-10-28
C_L69_Y2,1368,32.577083,-86.529246,2023-10-14,2023-10-22
C_L6_Y2,1278,32.610864,-86.529239,2023-10-15,2023-10-22
C_L70_Y2,1369,32.577863,-86.529320,2023-10-14,2023-10-22
C_L70_Y2,1370,32.577863,-86.529320,2023-10-22,2023-10-28
C_L71_Y2,1371,32.578403,-86.529276,2023-10-14,2023-10-22
C_L71_Y2,1372,32.578403,-86.529276,2023-10-22,2023-10-28
C_L72_Y2,1373,32.578895,-86.529268,2023-10-22,2023-10-28
C_L7_Y2,1279,32.607746,-86.523873,2023-10-15,2023-10-22
C_L7_Y2,1280,32.607746,-86.523873,2023-10-22,2023-10-28
C_L8_Y2,1281,32.608324,-86.523852,2023-10-15,2023-10-22
C_L8_Y2,1282,32.608324,-86.523852,2023-10-22,2023-10-28
C_L9_Y2,1283,32.608917,-86.523864,2023-10-15,2023-10-22
C_U10_Y2,1167,32.623767,-86.553424,2023-10-15,2023-10-21
C_U11_Y2,1168,32.624236,-86.553478,2023-10-15,2023-10-21
C_U11_Y2,1169,32.624236,-86.553478,2023-10-21,2023-10-28
C_U12_Y2,1170,32.624236,-86.553478,2023-10-15,2023-10-21
C_U12_Y2,1171,32.624236,-86.553478,2023-10-21,2023-10-28
C_U14_Y2,1172,32.619705,-86.558770,2023-10-21,2023-10-28
C_U15_Y2,1173,32.619163,-86.558839,2023-10-15,2023-10-21
C_U15_Y2,1174,32.619163,-86.558839,2023-10-21,2023-10-28
C_U16_Y2,1175,32.619135,-86.558302,2023-10-15,2023-10-21
C_U16_Y2,1176,32.619135,-86.558302,2023-10-21,2023-10-28
C_U17_Y2,1177,32.618973,-86.558696,2023-10-15,2023-10-21
C_U17_Y2,1178,32.618973,-86.558696,2023-10-21,2023-10-28
C_U18_Y2,1179,32.619463,-86.557972,2023-10-15,2023-10-21
C_U18_Y2,1180,32.619463,-86.557972,2023-10-21,2023-10-28
C_U19_Y2,1181,32.617731,-86.553016,2023-10-15,2023-10-21
C_U1_Y2,1150,32.622070,-86.558740,2023-10-15,2023-10-21
C_U20_Y2,1182,32.617866,-86.553021,2023-10-15,2023-10-21
C_U20_Y2,1183,32.617866,-86.553021,2023-10-21,2023-10-28
C_U21_Y2,1184,32.618430,-86.553005,2023-10-15,2023-10-21
C_U21_Y2,1185,32.618430,-86.553005,2023-10-21,2023-10-28
C_U22_Y2,1186,32.619109,-86.553039,2023-10-15,2023-10-21
C_U22_Y2,1187,32.619109,-86.553039,2023-10-21,2023-10-28
C_U23_Y2,1188,32.619787,-86.552391,2023-10-21,2023-10-28
C_U24_Y2,1189,32.620439,-86.553493,2023-10-15,2023-10-21
C_U24_Y2,1190,32.620439,-86.553493,2023-10-21,2023-10-28
C_U25_Y2,1191,32.593457,-86.558390,2023-10-21,2023-10-28
C_U26_Y2,1192,32.594178,-86.558220,2023-10-21,2023-10-28
C_U27_Y2,1193,32.594622,-86.558097,2023-10-14,2023-10-21
C_U27_Y2,1194,32.594622,-86.558097,2023-10-21,2023-10-28
C_U28_Y2,1195,32.595144,-86.558116,2023-10-14,2023-10-21
C_U28_Y2,1196,32.595144,-86.558116,2023-10-21,2023-10-28
C_U29_Y2,1197,32.595706,-86.558354,2023-10-14,2023-10-21
C_U29_Y2,1198,32.595706,-86.558354,2023-10-21,2023-10-28
C_U2_Y2,1151,32.622545,-86.558701,2023-10-15,2023-10-21
C_U2_Y2,1152,32.622545,-86.558701,2023-10-21,2023-10-28
C_U30_Y2,1199,32.596369,-86.558494,2023-10-14,2023-10-21
C_U30_Y2,1200,32.596369,-86.558494,2023-10-21,2023-10-28
C_U31_Y2,1201,32.593715,-86.563809,2023-10-14,2023-10-21
C_U31_Y2,1202,32.593715,-86.563809,2023-10-21,2023-10-28
C_U32_Y2,1203,32.594228,-86.563643,2023-10-14,2023-10-21
C_U32_Y2,1204,32.594228,-86.563643,2023-10-21,2023-10-28
C_U33_Y2,1205,32.595894,-86.563711,2023-10-14,2023-10-21
C_U33_Y2,1206,32.595894,-86.563711,2023-10-21,2023-10-28
C_U34_Y2,1207,32.595310,-86.563772,2023-10-14,2023-10-21
C_U34_Y2,1208,32.595310,-86.563772,2023-10-21,2023-10-28
C_U35_Y2,1209,32.594863,-86.563784,2023-10-14,2023-10-21
C_U35_Y2,1210,32.594863,-86.563784,2023-10-21,2023-10-28
C_U36_Y2,1211,32.596452,-86.563485,2023-10-14,2023-10-21
C_U36_Y2,1212,32.596452,-86.563485,2023-10-21,2023-10-28
C_U37_Y2,1213,32.590460,-86.555122,2023-10-14,2023-10-21
C_U37_Y2,1214,32.590460,-86.555122,2023-10-21,2023-10-28
C_U39_Y2,1215,32.591586,-86.555098,2023-10-14,2023-10-21
C_U39_Y2,1216,32.591586,-86.555098,2023-10-21,2023-10-28
C_U3_Y2,1153,32.622979,-86.558701,2023-10-15,2023-10-21
C_U3_Y2,1154,32.622979,-86.558701,2023-10-21,2023-10-28
C_U40_Y2,1217,32.592139,-86.555040,2023-10-14,2023-10-21
C_U40_Y2,1218,32.592139,-86.555040,2023-10-21,2023-10-28
C_U41_Y2,1219,32.592796,-86.555147,2023-10-14,2023-10-21
C_U41_Y2,1220,32.592796,-86.555147,2023-10-21,2023-10-28
C_U42_Y2,1221,32.593358,-86.555087,2023-10-14,2023-10-21
C_U42_Y2,1222,32.593358,-86.555087,2023-10-21,2023-10-28
C_U43_Y2,1223,32.590529,-86.549762,2023-10-14,2023-10-21
C_U43_Y2,1224,32.590529,-86.549762,2023-10-21,2023-10-28
C_U44_Y2,1225,32.591018,-86.549745,2023-10-14,2023-10-21
C_U44_Y2,1226,32.591018,-86.549745,2023-10-21,2023-10-28
C_U45_Y2,1227,32.591541,-86.549752,2023-10-14,2023-10-21
C_U45_Y2,1228,32.591541,-86.549752,2023-10-21,2023-10-28
C_U46_Y2,1229,32.592161,-86.549814,2023-10-14,2023-10-21
C_U46_Y2,1230,32.592161,-86.549814,2023-10-21,2023-10-28
