Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
S_U29_Y1,807,SU305A,unknown passerine,S_U29_Y1_807,2023-01-14 11:45:16,2023-01-14,11:45:16,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\2b,2b0abdc5-3762-430c-979a-3e8a7f00c86a.jpg
S_U53_Y1,837,SU505A,Dumetella carolinensis,S_U53_Y1_837,2023-01-14 13:01:10,2023-01-14,13:01:10,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\0f,0f5cb0d4-df5e-4ec7-90ce-970df9bd72cd.jpg
S_L6_Y1,648,SL106A,Turdus migratorius,S_L6_Y1_648,2023-01-14 16:25:29,2023-01-14,16:25:29,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\2d,2d2314fe-ddf6-4d36-989a-eec25731afa1.jpg
S_L6_Y1,648,SL106A,Dumetella carolinensis,S_L6_Y1_648,2023-01-14 16:25:29,2023-01-14,16:25:29,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\2d,2d2314fe-ddf6-4d36-989a-eec25731afa1.jpg
S_U60_Y1,847,SU512A,Odocoileus virginianus,S_U60_Y1_847,2023-01-14 17:53:10,2023-01-14,17:53:10,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\38,38eb4f2a-316c-467a-af34-0267b8dee7c7.jpg
S_U69_Y1,860,SU609A,Didelphis virginiana,S_U69_Y1_860,2023-01-14 18:30:47,2023-01-14,18:30:47,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\02,02cfa559-2dea-43d1-a49d-936de13cb561.jpg
S_U61_Y1,849,SU601A,Didelphis virginiana,S_U61_Y1_849,2023-01-14 19:07:07,2023-01-14,19:07:07,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\46,46deaef3-0cc7-4db3-85ed-12f49d29ffbd.jpg
S_L30_Y1,690,SL306A,Procyon lotor,S_L30_Y1_690,2023-01-14 19:19:52,2023-01-14,19:19:52,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\03,037afda8-95c4-4dab-b391-dfe8f677da29.jpg
S_L63_Y1,749,SL603A,Procyon lotor,S_L63_Y1_749,2023-01-14 19:21:10,2023-01-14,19:21:10,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\68,68f937a9-be3c-4409-9bf0-c645cbbf4aae.jpg
S_U69_Y1,860,SU609A,unknown rodent,S_U69_Y1_860,2023-01-14 19:37:05,2023-01-14,19:37:05,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\f2,f26d6f51-0bd0-45c3-afe4-cddce370131c.jpg
S_L72_Y1,765,SL612A,Didelphis virginiana,S_L72_Y1_765,2023-01-14 19:58:43,2023-01-14,19:58:43,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\81,818bb8c1-d5c6-492e-991e-202e5d237f5a.jpg
S_L28_Y1,686,SL304A,Procyon lotor,S_L28_Y1_686,2023-01-14 20:00:29,2023-01-14,20:00:29,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\c6,c6d80363-692d-4a37-ab74-a7afddb142db.jpg
S_L52_Y1,728,SL504A,Didelphis virginiana,S_L52_Y1_728,2023-01-14 20:03:25,2023-01-14,20:03:25,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\9f,9f95245d-9a5f-4efb-8809-2fdaa42bdf9b.jpg
S_U61_Y1,849,SU601A,Odocoileus virginianus,S_U61_Y1_849,2023-01-14 20:03:47,2023-01-14,20:03:47,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\ea,eac529e2-1794-4d0a-bde3-fce33bc59526.jpg
S_L61_Y1,745,SL601A,Didelphis virginiana,S_L61_Y1_745,2023-01-14 20:07:14,2023-01-14,20:07:14,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\d5,d59620c9-7ef7-4e17-848a-acfff5980aaf.jpg
S_L54_Y1,732,SL506A,Didelphis virginiana,S_L54_Y1_732,2023-01-14 20:10:56,2023-01-14,20:10:56,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\2c,2c2c64af-7b32-4fa9-9396-d27ac78b502b.jpg
S_L28_Y1,686,SL304A,Didelphis virginiana,S_L28_Y1_686,2023-01-14 20:30:31,2023-01-14,20:30:31,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\5f,5fe35a9e-978d-4b02-9823-40561c76ca90.jpg
S_L61_Y1,745,SL601A,Procyon lotor,S_L61_Y1_745,2023-01-14 20:31:21,2023-01-14,20:31:21,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\4d,4dab0366-c5cb-4870-b475-0189d74710b6.jpg
S_L63_Y1,749,SL603A,Procyon lotor,S_L63_Y1_749,2023-01-14 20:49:00,2023-01-14,20:49:00,5270,87,1.5,0.1,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\4b,4b3c6cb0-fb39-4bb5-952f-76f4c61f236b.jpg
S_L53_Y1,730,SL505A,Canis latrans,S_L53_Y1_730,2023-01-14 21:57:51,2023-01-14,21:57:51,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\e5,e55a02c3-443f-4369-873e-a8b04c9c7777.jpg
S_L61_Y1,745,SL601A,Procyon lotor,S_L61_Y1_745,2023-01-14 22:11:38,2023-01-14,22:11:38,6017,100,1.7,0.1,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\75,75e420d7-5b08-40d6-83b2-2aca9499d2c4.jpg
S_L28_Y1,686,SL304A,Didelphis virginiana,S_L28_Y1_686,2023-01-14 23:45:27,2023-01-14,23:45:27,11696,194,3.2,0.1,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\ce,ce8ac020-d128-4602-b0de-e56bc006787b.jpg
S_L62_Y1,747,SL602A,unknown rodent,S_L62_Y1_747,2023-01-15 00:36:05,2023-01-15,00:36:05,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\9d,9d01f4ef-aa66-4f2e-900b-0953b6c290b9.jpg
S_U55_Y1,841,SU507A,Odocoileus virginianus,S_U55_Y1_841,2023-01-15 02:30:20,2023-01-15,02:30:20,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\6f,6f54ac43-cf0d-4fc3-b124-de0807912a24.jpg
S_L51_Y1,726,SL503A,Odocoileus virginianus,S_L51_Y1_726,2023-01-15 03:22:32,2023-01-15,03:22:32,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\6b,6bbc77ec-ca3d-4cc7-ba17-45b773c0ab12.jpg
S_L62_Y1,747,SL602A,Odocoileus virginianus,S_L62_Y1_747,2023-01-15 03:22:48,2023-01-15,03:22:48,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\cf,cfd571be-d687-44b7-856d-bdbb42051315.jpg
S_L53_Y1,730,SL505A,Odocoileus virginianus,S_L53_Y1_730,2023-01-15 05:42:28,2023-01-15,05:42:28,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\34,34db68d7-7b4f-4e4e-bd4d-a364f2f68aaa.jpg
