Absolute Path,Camera ID,Camera Name,Date/Time,Media created,Media Filename,Media Format,Media ID,Media Processed Flag,Reference,Media updated,Exposure Bias Value,Flash,Aperture Value,Focal Length,ISO Speed Ratings,Orientation,Image Height,Image Width,Sighting Created,Sighting ID,Sighting Quantity,Sighting Updated,Site ID,Site Name,[Translation missing],Survey ID,Survey Name,Survey Site ID,[Translation missing],Class,Species Common Name,Taxonomy created,Genus,Species ID,Species,Order,Species,Taxonomy updated,Trap Station ID,Camelot GPS Latitude,Camelot GPS Longitude,Trap Station Name,Trap Station Session Camera ID,Session End Date,Trap Station Session ID,Session Start Date,Behavior,Bait Fate
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\a5\a5fb274d-76a0-4464-8b9a-58f5fa97b9f7.jpg,174,CL105B,10/25/2022 7:33,2/1/2023 23:09,a5fb274d-76a0-4464-8b9a-58f5fa97b9f7,jpg,4577,TRUE,TRUE,2/1/2023 23:09,0.05 sec,Flash did not fire,f/2.8,6 mm,446,"Top, left side (Horizontal / normal)",7296,4104,6/7/2023 8:39,57896,1,6/7/2023 8:39,44,AWMA_L1_Y1,2023-02-01T18:45:12.706Z,6,Autauga WMA: Year 1 ,7,2023-04-24T16:08:53.352Z,,unknown passerine,6/7/2023 4:34,unknown,50,unknown passerine,,passerine,6/7/2023 4:34,103,32.610157,-86.528995,C_L5_Y1,178,10/29/2022 0:00,173,10/22/2022 0:00,Bait_Interest,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\37\3731fc17-7294-4db1-9a4d-1cd7fa86f923.jpg,174,CL105B,10/26/2022 21:35,2/1/2023 23:10,3731fc17-7294-4db1-9a4d-1cd7fa86f923,jpg,4672,TRUE,TRUE,2/1/2023 23:10,1/30 sec,Flash fired,f/2.8,6 mm,111,"Top, left side (Horizontal / normal)",7296,4104,6/7/2023 8:46,58040,1,6/7/2023 8:46,44,AWMA_L1_Y1,2023-02-01T18:45:12.706Z,6,Autauga WMA: Year 1 ,7,2023-04-24T16:08:53.352Z,,unknown rodent,2/7/2023 19:05,unknown,31,unknown rodent,,rodent,2/7/2023 19:05,103,32.610157,-86.528995,C_L5_Y1,178,10/29/2022 0:00,173,10/22/2022 0:00,Bait_Taken,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\50\50af99ac-55fb-4234-ac47-6f09cec5ca08.jpg,172,CL104A,10/20/2022 18:42,2/1/2023 22:35,50af99ac-55fb-4234-ac47-6f09cec5ca08,jpg,4520,TRUE,TRUE,2/1/2023 22:35,0.05 sec,Flash fired,f/2.8,6 mm,148,"Top, left side (Horizontal / normal)",7296,4104,6/7/2023 8:32,57841,1,6/7/2023 8:32,44,AWMA_L1_Y1,2023-02-01T18:45:12.706Z,6,Autauga WMA: Year 1 ,7,2023-04-24T16:08:53.352Z,,unknown lagomorph,2/7/2023 19:03,unknown,30,unknown lagomorph,,lagomorph,2/7/2023 19:03,102,32.609473,-86.52913,C_L4_Y1,176,10/22/2022 0:00,171,10/17/2022 0:00,Other,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\c3\c326ec81-bef4-433b-8f64-5b016158edf9.jpg,174,CL105B,10/26/2022 3:06,2/1/2023 23:09,c326ec81-bef4-433b-8f64-5b016158edf9,jpg,4614,TRUE,TRUE,2/1/2023 23:09,1/24 sec,Flash fired,f/2.8,6 mm,117,"Top, left side (Horizontal / normal)",7296,4104,6/7/2023 8:41,57933,1,6/7/2023 8:41,44,AWMA_L1_Y1,2023-02-01T18:45:12.706Z,6,Autauga WMA: Year 1 ,7,2023-04-24T16:08:53.352Z,,Raccoon,10/28/2022 3:10,Procyon,3,Raccoon,,lotor,6/7/2023 13:26,103,32.610157,-86.528995,C_L5_Y1,178,10/29/2022 0:00,173,10/22/2022 0:00,Bait_Taken,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\a4\a42be8e3-9aad-408b-9949-75af0f68c0da.jpg,178,CL109B,10/23/2022 0:25,2/1/2023 23:46,a42be8e3-9aad-408b-9949-75af0f68c0da,jpg,4827,TRUE,TRUE,2/1/2023 23:46,0.05 sec,Flash fired,f/2.8,6 mm,148,"Top, left side (Horizontal / normal)",7296,4104,6/7/2023 9:00,58137,1,6/7/2023 9:00,44,AWMA_L1_Y1,2023-02-01T18:45:12.706Z,6,Autauga WMA: Year 1 ,7,2023-04-24T16:08:53.352Z,,Raccoon,10/28/2022 3:10,Procyon,3,Raccoon,,lotor,6/7/2023 13:26,107,32.608896,-86.523857,C_L9_Y1,182,10/29/2022 0:00,177,10/22/2022 0:00,Bait_Taken,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\8d\8da122b0-26a8-417b-988e-018e1486b84f.jpg,168,CL102A,10/18/2022 13:57,2/1/2023 22:10,8da122b0-26a8-417b-988e-018e1486b84f,jpg,4464,TRUE,TRUE,2/1/2023 22:10,1/120 sec,Flash did not fire,f/2.8,6 mm,127,"Top, left side (Horizontal / normal)",7296,4104,6/7/2023 8:25,57796,1,6/7/2023 8:25,44,AWMA_L1_Y1,2023-02-01T18:45:12.706Z,6,Autauga WMA: Year 1 ,7,2023-04-24T16:08:53.352Z,,White-tailed Deer,10/28/2022 3:11,Odocoileus,4,White-tailed Deer,,virginianus,10/28/2022 3:11,99,32.608362,-86.529164,C_L2_Y1,171,10/22/2022 0:00,166,10/17/2022 0:00,Other,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\65\65ff4807-906a-4e95-b34b-775de38799b0.jpg,177,CL108A,10/21/2022 18:37,2/1/2023 23:42,65ff4807-906a-4e95-b34b-775de38799b0,jpg,4803,TRUE,TRUE,2/1/2023 23:42,0.05 sec,Flash fired,f/2.8,6 mm,589,"Top, left side (Horizontal / normal)",7296,4104,6/7/2023 8:56,58115,1,6/7/2023 8:56,44,AWMA_L1_Y1,2023-02-01T18:45:12.706Z,6,Autauga WMA: Year 1 ,7,2023-04-24T16:08:53.352Z,,Coyote,10/28/2022 12:36,Canis,10,Coyote,,latrans,10/28/2022 12:36,106,32.608391,-86.523794,C_L8_Y1,181,10/22/2022 0:00,176,10/17/2022 0:00,Other,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\5d\5d34ad83-3a34-45ef-af4c-a06e6087aca7.jpg,174,CL105B,10/23/2022 0:47,2/1/2023 23:09,5d34ad83-3a34-45ef-af4c-a06e6087aca7,jpg,4558,TRUE,TRUE,2/1/2023 23:09,1/30 sec,Flash fired,f/2.8,6 mm,111,"Top, left side (Horizontal / normal)",7296,4104,6/7/2023 8:37,57877,1,6/7/2023 8:37,44,AWMA_L1_Y1,2023-02-01T18:45:12.706Z,6,Autauga WMA: Year 1 ,7,2023-04-24T16:08:53.352Z,,Grey fox,6/7/2023 4:55,Urocyon,51,Grey fox,,cinereoargenteus,6/7/2023 13:22,103,32.610157,-86.528995,C_L5_Y1,178,10/29/2022 0:00,173,10/22/2022 0:00,Bait_Interest,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\2c\2cd0825e-0f49-4364-89dd-38e45c75dedb.jpg,178,CL109B,10/23/2022 0:26,2/1/2023 23:46,2cd0825e-0f49-4364-89dd-38e45c75dedb,jpg,4845,TRUE,TRUE,2/1/2023 23:46,0.05 sec,Flash fired,f/2.8,6 mm,148,"Top, left side (Horizontal / normal)",7296,4104,6/7/2023 9:01,58163,1,6/7/2023 9:01,44,AWMA_L1_Y1,2023-02-01T18:45:12.706Z,6,Autauga WMA: Year 1 ,7,2023-04-24T16:08:53.352Z,,Raccoon,10/28/2022 3:10,Procyon,3,Raccoon,,lotor,6/7/2023 13:26,107,32.608896,-86.523857,C_L9_Y1,182,10/29/2022 0:00,177,10/22/2022 0:00,General_Curiosity,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\23\23115fba-67d2-4f3a-8562-e9d378684b13.jpg,172,CL104A,10/20/2022 18:42,2/1/2023 22:35,23115fba-67d2-4f3a-8562-e9d378684b13,jpg,4511,TRUE,TRUE,2/1/2023 22:35,0.05 sec,Flash fired,f/2.8,6 mm,148,"Top, left side (Horizontal / normal)",7296,4104,6/7/2023 8:32,57835,1,6/7/2023 8:32,44,AWMA_L1_Y1,2023-02-01T18:45:12.706Z,6,Autauga WMA: Year 1 ,7,2023-04-24T16:08:53.352Z,,unknown lagomorph,2/7/2023 19:03,unknown,30,unknown lagomorph,,lagomorph,2/7/2023 19:03,102,32.609473,-86.52913,C_L4_Y1,176,10/22/2022 0:00,171,10/17/2022 0:00,Other,Not_Taken
