Absolute Path,Camera ID,Camera Name,Date/Time,Media created,Media Filename,Media Format,Media ID,Media Processed Flag,Reference,Media updated,Exposure Bias Value,Flash,Aperture Value,Focal Length,ISO Speed Ratings,Orientation,Image Height,Image Width,Sighting Created,Sighting ID,Sighting Quantity,Sighting Updated,Site ID,Site Name,[Translation missing],Survey ID,Survey Name,Survey Site ID,[Translation missing],Class,Species Common Name,Taxonomy created,Genus,Species ID,Species,Order,Species,Taxonomy updated,Trap Station ID,Camelot GPS Latitude,Camelot GPS Longitude,Trap Station Name,Trap Station Session Camera ID,Session End Date,Trap Station Session ID,Session Start Date,Behavior,Bait Fate
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\1a\1ac801e5-3add-4c78-b0a6-81861ec9b73c.jpg,651,SL103A,1/19/2023 22:05,5/15/2023 19:16,1ac801e5-3add-4c78-b0a6-81861ec9b73c,jpg,41311,TRUE,TRUE,5/15/2023 19:16,0.05 sec,Flash fired,f/2.8,6 mm,112,"Top, left side (Horizontal / normal)",7296,4104,6/9/2023 7:29,65983,1,6/9/2023 7:29,67,BC_L1_Y1,2023-04-24T16:03:16.416Z,7,Baldwin County: Year 1,31,2023-04-24T16:08:12.903Z,,unknown rodent,2/7/2023 19:05,unknown,31,unknown rodent,,rodent,2/7/2023 19:05,364,30.677582,-87.429849,S_L3_Y1,643,1/21/2023 0:00,639,1/14/2023 0:00,Other,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\e2\e2b641ba-4bba-4ae2-8233-2caf3a347ea1.jpg,646,SL101B,1/23/2023 20:33,5/15/2023 19:16,e2b641ba-4bba-4ae2-8233-2caf3a347ea1,jpg,41246,TRUE,TRUE,5/15/2023 19:16,0.05 sec,Flash fired,f/2.8,6 mm,169,"Top, left side (Horizontal / normal)",7296,4104,6/9/2023 7:18,65881,1,6/9/2023 7:18,67,BC_L1_Y1,2023-04-24T16:03:16.416Z,7,Baldwin County: Year 1,31,2023-04-24T16:08:12.903Z,,unknown rodent,2/7/2023 19:05,unknown,31,unknown rodent,,rodent,2/7/2023 19:05,362,30.676498,-87.429868,S_L1_Y1,640,1/28/2023 0:00,636,1/21/2023 0:00,Bait_Taken,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\e1\e1416b8f-37a1-450a-9215-73430eb582d8.jpg,654,SL105B,1/25/2023 6:12,5/15/2023 19:18,e1416b8f-37a1-450a-9215-73430eb582d8,jpg,41488,TRUE,TRUE,5/15/2023 19:18,0.05 sec,Flash fired,f/2.8,6 mm,112,"Top, left side (Horizontal / normal)",7296,4104,6/9/2023 7:40,66077,1,6/9/2023 7:40,67,BC_L1_Y1,2023-04-24T16:03:16.416Z,7,Baldwin County: Year 1,31,2023-04-24T16:08:12.903Z,,Virginia Opossum,10/28/2022 3:14,Didelphis,5,Virginia Opossum,,virginiana,10/28/2022 3:14,366,30.678654,-87.429961,S_L5_Y1,647,1/28/2023 0:00,643,1/21/2023 0:00,Other,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\38\38b0f0b9-7e97-4a58-95b9-c6d450066951.jpg,663,SL112B,1/23/2023 20:55,5/15/2023 19:19,38b0f0b9-7e97-4a58-95b9-c6d450066951,jpg,41737,TRUE,TRUE,5/15/2023 19:19,0.05 sec,Flash fired,f/2.8,6 mm,148,"Top, left side (Horizontal / normal)",7296,4104,6/9/2023 8:09,66379,1,6/9/2023 8:09,67,BC_L1_Y1,2023-04-24T16:03:16.416Z,7,Baldwin County: Year 1,31,2023-04-24T16:08:12.903Z,,Virginia Opossum,10/28/2022 3:14,Didelphis,5,Virginia Opossum,,virginiana,10/28/2022 3:14,371,30.679403,-87.424699,S_L12_Y1,656,1/28/2023 0:00,652,1/21/2023 0:00,Bait_Taken,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\ff\ffae0e10-ba94-4cd2-aac8-45c5fc0c06de.jpg,659,SL109B,1/22/2023 21:36,5/15/2023 19:19,ffae0e10-ba94-4cd2-aac8-45c5fc0c06de,jpg,41651,TRUE,TRUE,5/15/2023 19:19,1/30 sec,Flash fired,f/2.8,6 mm,111,"Top, left side (Horizontal / normal)",7296,4104,6/9/2023 8:00,66296,1,6/9/2023 8:00,67,BC_L1_Y1,2023-04-24T16:03:16.416Z,7,Baldwin County: Year 1,31,2023-04-24T16:08:12.903Z,,Raccoon,10/28/2022 3:10,Procyon,3,Raccoon,,lotor,6/7/2023 13:26,369,30.677491,-87.424617,S_L9_Y1,652,1/28/2023 0:00,648,1/21/2023 0:00,Other,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\2a\2af28033-6544-497b-8aa1-1269a4471522.jpg,660,SL110A,1/20/2023 19:34,5/15/2023 19:19,2af28033-6544-497b-8aa1-1269a4471522,jpg,41667,TRUE,TRUE,5/15/2023 19:19,0.05 sec,Flash fired,f/2.8,6 mm,338,"Top, left side (Horizontal / normal)",7296,4104,6/9/2023 8:03,66313,1,6/9/2023 8:03,67,BC_L1_Y1,2023-04-24T16:03:16.416Z,7,Baldwin County: Year 1,31,2023-04-24T16:08:12.903Z,,Virginia Opossum,10/28/2022 3:14,Didelphis,5,Virginia Opossum,,virginiana,10/28/2022 3:14,370,30.678176,-87.424655,S_L10_Y1,653,1/21/2023 0:00,649,1/14/2023 0:00,Bait_Taken,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\af\af3fd6ae-eb8b-47c7-8b30-01f0eb4135c0.jpg,646,SL101B,1/23/2023 18:45,5/15/2023 19:16,af3fd6ae-eb8b-47c7-8b30-01f0eb4135c0,jpg,41236,TRUE,TRUE,5/15/2023 19:16,0.05 sec,Flash fired,f/2.8,6 mm,169,"Top, left side (Horizontal / normal)",7296,4104,6/9/2023 7:16,65873,1,6/9/2023 7:16,67,BC_L1_Y1,2023-04-24T16:03:16.416Z,7,Baldwin County: Year 1,31,2023-04-24T16:08:12.903Z,,unknown rodent,2/7/2023 19:05,unknown,31,unknown rodent,,rodent,2/7/2023 19:05,362,30.676498,-87.429868,S_L1_Y1,640,1/28/2023 0:00,636,1/21/2023 0:00,Bait_Interest,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\c9\c9960ac1-fbb7-461c-88a2-e403a98d44df.jpg,654,SL105B,1/24/2023 12:21,5/15/2023 19:17,c9960ac1-fbb7-461c-88a2-e403a98d44df,jpg,41429,TRUE,TRUE,5/15/2023 19:17,1/758 sec,Flash did not fire,f/2.8,6 mm,100,"Top, left side (Horizontal / normal)",7296,4104,6/9/2023 7:37,66048,2,6/9/2023 7:37,67,BC_L1_Y1,2023-04-24T16:03:16.416Z,7,Baldwin County: Year 1,31,2023-04-24T16:08:12.903Z,,American Robin,2/4/2023 2:49,Turdus,20,American Robin,,migratorius,2/4/2023 2:49,366,30.678654,-87.429961,S_L5_Y1,647,1/28/2023 0:00,643,1/21/2023 0:00,Other,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\ec\ec43e8d3-9ff8-46ca-88be-42a9deaeaf59.jpg,659,SL109B,1/22/2023 21:36,5/15/2023 19:18,ec43e8d3-9ff8-46ca-88be-42a9deaeaf59,jpg,41610,TRUE,TRUE,5/15/2023 19:18,0.05 sec,Flash fired,f/2.8,6 mm,257,"Top, left side (Horizontal / normal)",7296,4104,6/9/2023 8:00,66288,1,6/9/2023 8:00,67,BC_L1_Y1,2023-04-24T16:03:16.416Z,7,Baldwin County: Year 1,31,2023-04-24T16:08:12.903Z,,Raccoon,10/28/2022 3:10,Procyon,3,Raccoon,,lotor,6/7/2023 13:26,369,30.677491,-87.424617,S_L9_Y1,652,1/28/2023 0:00,648,1/21/2023 0:00,Other,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\77\779a6601-8d92-4b19-ae54-6809f143be50.jpg,653,SL105A,1/16/2023 14:37,5/15/2023 19:17,779a6601-8d92-4b19-ae54-6809f143be50,jpg,41389,TRUE,TRUE,5/15/2023 19:17,1/190 sec,Flash did not fire,f/2.8,6 mm,100,"Top, left side (Horizontal / normal)",7296,4104,6/9/2023 7:36,66014,1,6/9/2023 7:36,67,BC_L1_Y1,2023-04-24T16:03:16.416Z,7,Baldwin County: Year 1,31,2023-04-24T16:08:12.903Z,,American Robin,2/4/2023 2:49,Turdus,20,American Robin,,migratorius,2/4/2023 2:49,366,30.678654,-87.429961,S_L5_Y1,646,1/21/2023 0:00,642,1/14/2023 0:00,Other,Not_Taken
