Absolute Path,Camera ID,Camera Name,Date/Time,Media created,Media Filename,Media Format,Media ID,Media Processed Flag,Reference,Media updated,Exposure Bias Value,Flash,Aperture Value,Focal Length,ISO Speed Ratings,Orientation,Image Height,Image Width,Sighting Created,Sighting ID,Sighting Quantity,Sighting Updated,Site ID,Site Name,[Translation missing],Survey ID,Survey Name,Survey Site ID,[Translation missing],Class,Species Common Name,Taxonomy created,Genus,Species ID,Species,Order,Species,Taxonomy updated,Trap Station ID,Camelot GPS Latitude,Camelot GPS Longitude,Trap Station Name,Trap Station Session Camera ID,Session End Date,Trap Station Session ID,Session Start Date,Behavior,Bait Fate
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\df\dfeb2070-9852-4e16-b533-1a883d98a8db.jpg,162,NL111B,10/8/2022 21:00,2/1/2023 14:50,dfeb2070-9852-4e16-b533-1a883d98a8db,jpg,4118,TRUE,TRUE,2/1/2023 14:50,0.05 sec,Flash fired,f/2.8,6 mm,223,"Top, left side (Horizontal / normal)",7296,4104,6/2/2023 18:03,43847,1,6/2/2023 18:03,41,RSA_L1_Y1,2023-01-24T12:48:44.270Z,5,Redstone Arsenal: Year 1,4,2023-04-24T16:08:00.983Z,,Virginia Opossum,10/28/2022 3:14,Didelphis,5,Virginia Opossum,,virginiana,10/28/2022 3:14,95,34.685817,-86.70873,N_L11_Y1,166,10/14/2022 0:00,161,10/8/2022 0:00,Bait_Taken,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\f6\f678e82f-65e8-4a68-a5f4-5e8cee643fe6.jpg,152,NL105B,10/11/2022 4:15,2/1/2023 2:59,f678e82f-65e8-4a68-a5f4-5e8cee643fe6,jpg,3342,TRUE,TRUE,2/1/2023 2:59,0.05 sec,Flash fired,f/2.8,6 mm,169,"Top, left side (Horizontal / normal)",7296,4104,6/2/2023 16:24,43092,1,6/2/2023 16:24,41,RSA_L1_Y1,2023-01-24T12:48:44.270Z,5,Redstone Arsenal: Year 1,4,2023-04-24T16:08:00.983Z,,Southern Flying Squirrel,10/27/2022 19:21,Glaucomys,1,Southern Flying Squirrel,,volans,10/27/2022 19:21,90,34.685815,-86.714206,N_L5_Y1,156,10/14/2022 0:00,151,10/8/2022 0:00,Other,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\d1\d1c4e5fc-ffd9-4c7f-a6aa-28f99810afd9.jpg,159,NL110A,10/2/2022 2:52,2/1/2023 14:29,d1c4e5fc-ffd9-4c7f-a6aa-28f99810afd9,jpg,3786,TRUE,TRUE,2/1/2023 14:29,0.05 sec,Flash fired,f/2.8,6 mm,257,"Top, left side (Horizontal / normal)",7296,4104,6/2/2023 16:55,43525,1,6/2/2023 16:55,41,RSA_L1_Y1,2023-01-24T12:48:44.270Z,5,Redstone Arsenal: Year 1,4,2023-04-24T16:08:00.983Z,,Raccoon,10/28/2022 3:10,Procyon,3,Raccoon,,lotor,6/7/2023 13:26,94,34.685229,-86.70877,N_L10_Y1,163,10/8/2022 0:00,158,10/1/2022 0:00,Bait_Taken,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\7b\7bf22cb4-cf89-4620-aea1-17167b03c25a.jpg,155,NL108A,10/6/2022 8:08,2/1/2023 3:30,7bf22cb4-cf89-4620-aea1-17167b03c25a,jpg,3470,TRUE,TRUE,2/1/2023 3:30,0.05 sec,Flash did not fire,f/2.8,6 mm,195,"Top, left side (Horizontal / normal)",7296,4104,6/2/2023 16:40,43218,1,6/2/2023 16:40,41,RSA_L1_Y1,2023-01-24T12:48:44.270Z,5,Redstone Arsenal: Year 1,4,2023-04-24T16:08:00.983Z,,Wood Thrush,2/1/2023 14:10,Hylocichla,14,Wood Thrush,,mustelina,2/1/2023 14:10,92,34.684038,-86.708736,N_L8_Y1,159,10/8/2022 0:00,154,10/1/2022 0:00,Other,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\58\58797d68-2490-4172-8ea9-397250b1f89f.jpg,144,NL101B,10/8/2022 22:06,2/1/2023 1:09,58797d68-2490-4172-8ea9-397250b1f89f,jpg,2747,TRUE,TRUE,2/1/2023 1:09,0.05 sec,Flash fired,f/2.8,6 mm,195,"Top, left side (Horizontal / normal)",7296,4104,6/2/2023 13:51,42501,1,6/2/2023 13:51,41,RSA_L1_Y1,2023-01-24T12:48:44.270Z,5,Redstone Arsenal: Year 1,4,2023-04-24T16:08:00.983Z,,Raccoon,10/28/2022 3:10,Procyon,3,Raccoon,,lotor,6/7/2023 13:26,86,34.683506,-86.71421,N_L1_Y1,148,10/14/2022 0:00,143,10/8/2022 0:00,Bait_Taken,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\59\59e3f5dc-4759-4152-bbc7-710ff9d69764.jpg,152,NL105B,10/10/2022 19:34,2/1/2023 2:59,59e3f5dc-4759-4152-bbc7-710ff9d69764,jpg,3302,TRUE,TRUE,2/1/2023 2:59,0.05 sec,Flash fired,f/2.8,6 mm,169,"Top, left side (Horizontal / normal)",7296,4104,6/2/2023 16:23,43052,1,6/2/2023 16:23,41,RSA_L1_Y1,2023-01-24T12:48:44.270Z,5,Redstone Arsenal: Year 1,4,2023-04-24T16:08:00.983Z,,Virginia Opossum,10/28/2022 3:14,Didelphis,5,Virginia Opossum,,virginiana,10/28/2022 3:14,90,34.685815,-86.714206,N_L5_Y1,156,10/14/2022 0:00,151,10/8/2022 0:00,Bait_Taken,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\70\7081531a-8b95-4cf8-bb50-94d34c1afc60.jpg,155,NL108A,10/4/2022 19:21,2/1/2023 3:29,7081531a-8b95-4cf8-bb50-94d34c1afc60,jpg,3440,TRUE,TRUE,2/1/2023 3:29,0.05 sec,Flash fired,f/2.8,6 mm,223,"Top, left side (Horizontal / normal)",7296,4104,6/2/2023 16:38,43188,1,6/2/2023 16:38,41,RSA_L1_Y1,2023-01-24T12:48:44.270Z,5,Redstone Arsenal: Year 1,4,2023-04-24T16:08:00.983Z,,Nine-banded Armadillo,10/28/2022 3:15,Dasypus,6,Nine-banded Armadillo,,novemcinctus,10/28/2022 3:15,92,34.684038,-86.708736,N_L8_Y1,159,10/8/2022 0:00,154,10/1/2022 0:00,Other,Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\41\41a05282-ce51-4fdc-b1de-0a98fdefecac.jpg,152,NL105B,10/10/2022 4:15,2/1/2023 2:59,41a05282-ce51-4fdc-b1de-0a98fdefecac,jpg,3298,TRUE,TRUE,2/1/2023 2:59,0.05 sec,Flash fired,f/2.8,6 mm,169,"Top, left side (Horizontal / normal)",7296,4104,6/2/2023 16:22,43048,1,6/2/2023 16:22,41,RSA_L1_Y1,2023-01-24T12:48:44.270Z,5,Redstone Arsenal: Year 1,4,2023-04-24T16:08:00.983Z,,Southern Flying Squirrel,10/27/2022 19:21,Glaucomys,1,Southern Flying Squirrel,,volans,10/27/2022 19:21,90,34.685815,-86.714206,N_L5_Y1,156,10/14/2022 0:00,151,10/8/2022 0:00,Bait_Interest,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\f5\f58f8145-0750-4383-a841-ac8b9a280353.jpg,154,NL106B,10/10/2022 10:53,2/1/2023 3:12,f58f8145-0750-4383-a841-ac8b9a280353,jpg,3394,TRUE,TRUE,2/1/2023 3:12,1/24 sec,Flash did not fire,f/2.8,6 mm,102,"Top, left side (Horizontal / normal)",7296,4104,6/2/2023 16:30,43143,1,6/2/2023 16:30,41,RSA_L1_Y1,2023-01-24T12:48:44.270Z,5,Redstone Arsenal: Year 1,4,2023-04-24T16:08:00.983Z,,Bobcat,2/1/2023 3:15,Lynx,12,Bobcat,,rufus,2/1/2023 3:15,91,34.686392,-86.714204,N_L6_Y1,158,10/14/2022 0:00,153,10/8/2022 0:00,Bait_Interest,Not_Taken
C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\a3\a3376897-35fc-452b-b7a2-fc30ca41c521.jpg,156,NL108B,10/10/2022 17:29,2/1/2023 3:41,a3376897-35fc-452b-b7a2-fc30ca41c521,jpg,3552,TRUE,TRUE,2/1/2023 3:41,0.05 sec,Flash did not fire,f/2.8,6 mm,257,"Top, left side (Horizontal / normal)",7296,4104,6/2/2023 16:45,43299,1,6/2/2023 16:45,41,RSA_L1_Y1,2023-01-24T12:48:44.270Z,5,Redstone Arsenal: Year 1,4,2023-04-24T16:08:00.983Z,,Nine-banded Armadillo,10/28/2022 3:15,Dasypus,6,Nine-banded Armadillo,,novemcinctus,10/28/2022 3:15,92,34.684038,-86.708736,N_L8_Y1,160,10/14/2022 0:00,155,10/8/2022 0:00,Bait_Interest,Not_Taken
