OBJECTID_1,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95
1,245700.000000000000000,3847500.000000000000000,1566000.000000000000000,645300.000000000000000,95400.000000000000000,46800.000000000000000,12521700.000000000000000,3907800.000000000000000,2669400.000000000000000,893700.000000000000000,1410300.000000000000000,43539300.000000000000000,17847900.000000000000000,9612900.000000000000000,950400.000000000000000
2,722700.000000000000000,2838600.000000000000000,750600.000000000000000,135900.000000000000000,5400.000000000000000,45900.000000000000000,23963400.000000000000000,36573300.000000000000000,15012000.000000000000000,6354900.000000000000000,8462700.000000000000000,4425300.000000000000000,0.000000000000000,725400.000000000000000,83700.000000000000000
3,4525200.000000000000000,5058900.000000000000000,1552500.000000000000000,342000.000000000000000,30600.000000000000000,147600.000000000000000,36387000.000000000000000,1751400.000000000000000,1888200.000000000000000,1151100.000000000000000,942300.000000000000000,26603100.000000000000000,12775500.000000000000000,6465600.000000000000000,478800.000000000000000
4,31500.000000000000000,2596500.000000000000000,410400.000000000000000,71100.000000000000000,3600.000000000000000,13500.000000000000000,26397900.000000000000000,42413400.000000000000000,15723000.000000000000000,2326500.000000000000000,4295700.000000000000000,3288600.000000000000000,0.000000000000000,2139300.000000000000000,89100.000000000000000
5,3623400.000000000000000,8574300.000000000000000,11426400.000000000000000,9494100.000000000000000,4673700.000000000000000,410400.000000000000000,136800.000000000000000,792900.000000000000000,1638900.000000000000000,242100.000000000000000,191700.000000000000000,11050200.000000000000000,9596700.000000000000000,34992900.000000000000000,3255300.000000000000000
6,15000300.000000000000000,6187500.000000000000000,1669500.000000000000000,279900.000000000000000,42300.000000000000000,49500.000000000000000,39298500.000000000000000,3573000.000000000000000,5614200.000000000000000,1873800.000000000000000,1534500.000000000000000,21071700.000000000000000,1136700.000000000000000,412200.000000000000000,317700.000000000000000
7,230400.000000000000000,5810400.000000000000000,1458000.000000000000000,643500.000000000000000,319500.000000000000000,6104700.000000000000000,30341700.000000000000000,19296900.000000000000000,19324800.000000000000000,3347100.000000000000000,4830300.000000000000000,6095700.000000000000000,0.000000000000000,2198700.000000000000000,98100.000000000000000
8,723600.000000000000000,2772000.000000000000000,1098900.000000000000000,334800.000000000000000,37800.000000000000000,268200.000000000000000,12267900.000000000000000,12608100.000000000000000,9187200.000000000000000,2607300.000000000000000,3114000.000000000000000,12392100.000000000000000,2326500.000000000000000,4575600.000000000000000,848700.000000000000000
9,533700.000000000000000,2723400.000000000000000,1806300.000000000000000,676800.000000000000000,66600.000000000000000,64800.000000000000000,4899600.000000000000000,1149300.000000000000000,1575000.000000000000000,1188900.000000000000000,608400.000000000000000,15731100.000000000000000,60432300.000000000000000,7229700.000000000000000,1114200.000000000000000
10,622800.000000000000000,5213700.000000000000000,3091500.000000000000000,1192500.000000000000000,187200.000000000000000,1111500.000000000000000,20353500.000000000000000,28077300.000000000000000,14753700.000000000000000,5448600.000000000000000,9393300.000000000000000,7437600.000000000000000,0.000000000000000,2601900.000000000000000,315000.000000000000000
